School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
ROGERS -GREG- ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,No,55,0,0,Down to None,78,76,78,98,98
ROHR -FRED H.- ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,29,0,0,No Data,100,100,100,100,100
ROSEBANK ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,71,1,1,-2,99,97,99,99,99
SALT CREEK ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,120,4,3,Up from None,97,97,97,97,97
TIFFANY -BURTON C.- ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,53,3,6,Up from None,94,94,94,94,94
VALLE LINDO ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,74,2,3,Up from None,96,97,97,97,97
VETERANS ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,129,3,2,1,97,97,98,96,98
VISTA SQUARE ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,113,1,1,Up from None,97,98,99,98,99
WOLF CANYON ELEMENTARY,PUBLIC,SAN DIEGO,CHULA VISTA,Y,Yes,110,1,1,0,97,97,97,99,99
FINNEY -MYRTLE S.- ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,52,0,0,No Opt-Outs,96,96,96,100,100
JUAREZ-LINCOLN ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,68,0,0,No Opt-Outs,99,99,99,99,100
LOS ALTOS ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,70,0,0,No Opt-Outs,100,100,100,100,100
SILVER WING ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,56,0,0,No Opt-Outs,96,96,96,98,100
CORONADO VILLAGE ELEMENTARY,PUBLIC,SAN DIEGO,CORONADO,Y,No,119,4,3,2,77,78,73,82,80
SILVER STRAND ELEMENTARY,PUBLIC,SAN DIEGO,CORONADO,Y,Yes,50,2,4,-1,96,96,96,96,96
THE HEIGHTS CHARTER,PUBLIC,SAN DIEGO,ALPINE,Y,No,22,2,9,No Data,86,86,86,86,86
DEHESA ELEMENTARY,PUBLIC,SAN DIEGO,EL CAJON,Y,Yes,17,0,0,No Opt-Outs,100,100,100,100,100
COMMUNITY MONTESSORI CHARTER,PUBLIC,SAN DIEGO,ESCONDIDO,Y,No,60,19,32,No Data,68,68,68,68,68
DEHESA CHARTER,PUBLIC,SAN DIEGO,ESCONDIDO,Y,No,78,38,49,-7,50,50,50,45,50
DEL MAR HEIGHTS ELEMENTARY,PUBLIC,SAN DIEGO,DEL MAR,Y,Yes,43,1,2,-7,98,98,95,98,98
DEL MAR HILLS ELEMENTARY,PUBLIC,SAN DIEGO,DEL MAR,Y,Yes,60,0,0,Down to None,92,92,92,92,92
ASHLEY FALLS ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,47,3,6,No Data,94,94,94,94,94
CARMEL DEL MAR ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,84,4,5,0,94,95,95,92,95
OCEAN AIR,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,88,0,0,Down to None,99,99,98,98,99
SAGE CANYON,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,67,3,4,3,96,94,96,96,96
SYCAMORE RIDGE,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,74,2,3,Up from None,93,93,92,93,96
TORREY HILLS,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,92,0,0,Down to None,98,98,98,98,98
EL CAMINO CREEK ELEMENTARY,PUBLIC,SAN DIEGO,CARLSBAD,Y,No,105,9,9,7,89,90,89,89,90
LA COSTA HEIGHTS ELEMENTARY,PUBLIC,SAN DIEGO,CARLSBAD,Y,Yes,89,5,6,3,94,94,94,94,94
MISSION ESTANCIA ELEMENTARY,PUBLIC,SAN DIEGO,CARLSBAD,Y,Yes,70,6,9,6,91,91,91,91,91
OLIVENHAIN PIONEER ELEMENTARY,PUBLIC,SAN DIEGO,CARLSBAD,Y,No,122,19,16,12,82,82,83,83,84
CAPRI ELEMENTARY,PUBLIC,SAN DIEGO,ENCINITAS,Y,No,107,15,14,7,86,86,85,83,86
FLORA VISTA ELEMENTARY,PUBLIC,SAN DIEGO,ENCINITAS,Y,No,58,6,10,2,90,90,90,86,90
OCEAN KNOLL ELEMENTARY,PUBLIC,SAN DIEGO,ENCINITAS,Y,No,111,16,14,8,86,86,85,85,86
PARK DALE LANE ELEMENTARY,PUBLIC,SAN DIEGO,ENCINITAS,Y,No,71,11,15,6,83,83,85,85,83
PAUL ECKE-CENTRAL ELEMENTARY,PUBLIC,SAN DIEGO,ENCINITAS,Y,No,96,11,11,-13,88,88,89,89,88
BERNARDO ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,101,2,2,-1,93,93,93,97,98
CENTRAL ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,143,1,1,Up from None,99,99,99,99,99
CLASSICAL ACADEMY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,No,122,29,24,1,75,75,75,75,75
CONWAY ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,125,3,2,Up from None,95,96,94,98,98
FARR AVENUE ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,137,1,1,Up from None,98,99,99,99,99
FELICITA ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,123,1,1,No Data,98,98,98,99,99
GLEN VIEW ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,159,1,1,-1,98,98,98,99,99
HERITAGE K-8 CHARTER,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,78,4,5,Up from None,95,95,95,95,95
JUNIPER ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,154,2,1,0,98,99,97,99,99
L. R. GREEN ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,No,115,1,1,-2,84,87,87,97,97
LINCOLN ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,130,0,0,No Opt-Outs,98,98,98,100,100
MILLER ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,No,77,5,6,5,83,90,92,88,94
NORTH BROADWAY ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,123,0,0,Down to None,100,99,100,100,100
OAK HILL ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,165,1,1,-1,98,98,98,98,99
ORANGE GLEN ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,133,3,2,-5,95,95,94,98,98
PIONEER ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,166,1,1,Up from None,98,98,98,99,99
REIDY CREEK ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,129,2,2,-5,98,98,97,98,98
ROCK SPRINGS ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,110,1,1,0,97,97,98,99,99
ROSE ELEMENTARY,PUBLIC,SAN DIEGO,ESCONDIDO,Y,Yes,111,0,0,Down to None,97,96,97,97,97
FALLBROOK STREET ELEMENTARY,PUBLIC,SAN DIEGO,FALLBROOK,Y,Yes,122,0,0,No Opt-Outs,99,99,99,99,99
IOWA STREET,PUBLIC,SAN DIEGO,FALLBROOK,Y,No,25,7,28,8,72,72,72,72,72
LA PALOMA ELEMENTARY,PUBLIC,SAN DIEGO,FALLBROOK,Y,Yes,81,2,2,No Data,96,95,96,96,98
LIVE OAK ELEMENTARY,PUBLIC,SAN DIEGO,FALLBROOK,Y,Yes,99,2,2,No Data,96,95,96,95,98
WILLIAM H. FRAZIER ELEMENTARY,PUBLIC,SAN DIEGO,FALLBROOK,Y,Yes,96,2,2,-2,98,98,98,98,98
MARY FAY PENDLETON ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,139,3,2,1,92,91,96,96,96
SAN ONOFRE ELEMENTARY,PUBLIC,SAN DIEGO,SAN CLEMENTE,Y,Yes,104,3,3,2,95,95,95,96,95
GREATER SAN DIEGO ACADEMY,PUBLIC,SAN DIEGO,JAMUL,Y,No,37,9,24,-11,59,65,59,76,73
JAMUL PRIMARY,PUBLIC,SAN DIEGO,JAMUL,Y,Yes,64,1,2,-1,94,94,92,98,98
HARBOR SPRINGS CHARTER,PUBLIC,SAN DIEGO,JULIAN,Y,No,65,12,18,No Data,80,80,80,82,82
JULIAN CHARTER,PUBLIC,SAN DIEGO,JULIAN,Y,No,156,59,38,16,62,62,62,62,62
JULIAN ELEMENTARY,PUBLIC,SAN DIEGO,JULIAN,Y,No,31,3,10,Up from None,81,81,81,87,87
BEACON CLASSICAL ACADEMY ELEMENTARY CHARTER,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,25,0,0,No Data,100,100,100,100,100
FLETCHER HILLS ELEMENTARY,PUBLIC,SAN DIEGO,EL CAJON,Y,Yes,104,4,4,0,95,95,96,95,95
LA MESA DALE ELEMENTARY,PUBLIC,SAN DIEGO,LA MESA,Y,Yes,113,2,2,0,95,95,95,96,96
LEMON AVENUE ELEMENTARY,PUBLIC,SAN DIEGO,LA MESA,Y,No,131,4,3,Up from None,79,80,82,93,95
MARYLAND AVENUE ELEMENTARY,PUBLIC,SAN DIEGO,LA MESA,Y,No,114,5,4,2,87,86,81,91,95
MURDOCK ELEMENTARY,PUBLIC,SAN DIEGO,LA MESA,Y,Yes,91,4,4,2,92,93,92,93,93
MURRAY MANOR ELEMENTARY,PUBLIC,SAN DIEGO,LA MESA,Y,Yes,104,3,3,-2,96,95,96,95,97
NORTHMONT ELEMENTARY,PUBLIC,SAN DIEGO,LA MESA,Y,Yes,72,1,1,-2,90,90,90,93,94
ROLANDO ELEMENTARY,PUBLIC,SAN DIEGO,LA MESA,Y,Yes,82,2,2,-1,94,95,94,98,98
AVONDALE ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,119,0,0,No Opt-Outs,97,100,100,100,100
BANCROFT ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,87,1,1,Up from None,98,98,98,98,98
CASA DE ORO ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,73,5,7,Up from None,93,93,93,93,93
HIGHLANDS ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,98,1,1,-1,98,99,99,99,99
KEMPTON STREET ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,67,1,1,1,99,99,93,97,99
LA PRESA ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,101,1,1,Up from None,97,98,98,99,99
LOMA ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,No,45,1,2,Up from None,78,82,80,91,93
RANCHO ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,60,0,0,No Opt-Outs,95,95,95,100,98
SWEETWATER SPRINGS ELEMENTARY,PUBLIC,SAN DIEGO,SPRING VALLEY,Y,Yes,71,1,1,Up from None,99,99,97,99,99
BARONA INDIAN CHARTER,PUBLIC,SAN DIEGO,LAKESIDE,Y,Yes,10,0,0,No Data,90,100,100,100,100
LAKESIDE FARMS ELEMENTARY,PUBLIC,SAN DIEGO,LAKESIDE,Y,Yes,115,2,2,No Data,95,95,94,97,98
LAKEVIEW ELEMENTARY,PUBLIC,SAN DIEGO,LAKESIDE,Y,Yes,126,9,7,6,92,92,91,92,92
LEMON CREST ELEMENTARY,PUBLIC,SAN DIEGO,LAKESIDE,Y,Yes,81,1,1,-2,98,98,99,99,99
LINDO PARK ELEMENTARY,PUBLIC,SAN DIEGO,LAKESIDE,Y,Yes,82,0,0,Down to None,96,99,94,98,99
WINTER GARDENS ELEMENTARY,PUBLIC,SAN DIEGO,LAKESIDE,Y,Yes,190,15,8,Up from None,92,92,92,92,92
NATIONAL UNIVERSITY ACADEMY,PUBLIC,SAN DIEGO,VISTA,Y,No,110,22,20,No Data,71,75,73,78,80
VISTA LA MESA ACADEMY,PUBLIC,SAN DIEGO,LA MESA,Y,Yes,91,2,2,1,96,96,95,96,97
LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES,PUBLIC,SAN DIEGO,LEMON GROVE,Y,Yes,64,1,2,Up from None,98,98,98,95,98
MONTEREY HEIGHTS ELEMENTARY,PUBLIC,SAN DIEGO,LEMON GROVE,Y,Yes,82,2,2,1,96,96,96,98,98
MT. VERNON ELEMENTARY,PUBLIC,SAN DIEGO,LEMON GROVE,Y,Yes,88,0,0,No Opt-Outs,100,100,99,100,100
SAN ALTOS ELEMENTARY,PUBLIC,SAN DIEGO,LEMON GROVE,Y,Yes,95,1,1,Up from None,98,98,98,99,99
SAN MIGUEL ELEMENTARY,PUBLIC,SAN DIEGO,LEMON GROVE,Y,Yes,91,0,0,Down to None,98,99,99,100,100
CLOVER FLAT ELEMENTARY,PUBLIC,SAN DIEGO,BOULEVARD,Y,Yes,39,1,3,No Data,95,97,97,97,97
CAMPO ELEMENTARY,PUBLIC,SAN DIEGO,CAMPO,Y,Yes,69,4,6,Up from None,94,94,94,94,94
DESCANSO ELEMENTARY,PUBLIC,SAN DIEGO,DESCANSO,Y,Yes,43,2,5,Up from None,95,95,95,95,95
POTRERO ELEMENTARY,PUBLIC,SAN DIEGO,POTRERO,Y,Yes,31,3,10,Up from None,90,90,90,90,90
ACADEMY OF ARTS AND SCIENCES DEL MAR ELEMENTARY -K-5-,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,23,4,17,No Data,57,57,57,57,61
ACADEMY OF ARTS AND SCIENCES EL CAJON ELEMENTARY K TO 5,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,91,48,53,No Data,35,35,36,38,41
COUNTY COLLABORATIVE CHARTER,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,20,0,0,No Data,90,95,85,95,90
CENTRAL ELEMENTARY,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,102,0,0,No Opt-Outs,100,100,100,100,100
EL TOYON ELEMENTARY,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,71,0,0,No Opt-Outs,100,100,100,100,100
INTEGRITY CHARTER,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,35,0,0,No Opt-Outs,97,94,94,97,97
IRA HARBISON,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,89,0,0,No Opt-Outs,97,98,97,98,98
JOHN A. OTIS ELEMENTARY,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,79,0,0,No Opt-Outs,100,100,100,100,100
KIMBALL,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,56,1,2,Up from None,96,96,96,96,96
LAS PALMAS,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,115,0,0,No Opt-Outs,99,99,97,100,100
LINCOLN ACRES,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,82,0,0,No Opt-Outs,99,99,99,99,99
OLIVEWOOD,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,125,0,0,No Opt-Outs,99,100,100,100,100
PALMER WAY,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,103,0,0,Down to None,100,100,100,100,100
RANCHO DE LA NACION,PUBLIC,SAN DIEGO,NATIONAL CITY,Y,Yes,81,0,0,No Opt-Outs,98,98,98,98,100
CHRISTA MCAULIFFE ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,No,114,6,5,Up from None,93,93,93,90,94
COASTAL ACADEMY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,No,133,24,18,-1,70,70,70,70,70
DEL RIO ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,65,0,0,Down to None,97,97,97,97,98
E. G. GARRISON ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,77,1,1,-2,99,99,99,99,99
IVEY RANCH ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,No,103,10,10,Up from None,87,87,87,88,88
LAUREL ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,96,1,1,0,97,97,98,98,99
LIBBY ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,119,1,1,Up from None,97,97,97,99,99
LOUISE FOUSSAT ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,135,2,1,No Data,99,99,99,99,99
MISSION ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,108,1,1,Up from None,99,98,99,99,99
NICHOLS ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,148,1,1,-3,99,99,99,99,99
NORTH TERRACE ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,137,1,1,-2,99,99,98,96,98
PALMQUIST ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,133,8,6,0,92,93,92,92,94
REYNOLDS ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,158,7,4,Up from None,92,92,91,92,92
SAN LUIS REY ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,72,0,0,Down to None,99,100,99,100,100
SANTA MARGARITA ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,115,7,6,Up from None,94,94,94,94,94
SOUTH OCEANSIDE ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,107,7,7,-5,93,93,93,93,93
STUART MESA ELEMENTARY,PUBLIC,SAN DIEGO,OCEANSIDE,Y,Yes,152,3,2,1,95,96,94,95,97
CHAPARRAL ELEMENTARY,PUBLIC,SAN DIEGO,POWAY,Y,Yes,122,2,2,Up from None,98,98,98,97,98
GARDEN ROAD ELEMENTARY,PUBLIC,SAN DIEGO,POWAY,Y,Yes,80,3,4,2,95,95,95,94,95
MIDLAND ELEMENTARY,PUBLIC,SAN DIEGO,POWAY,Y,Yes,117,4,3,-4,94,94,94,96,96
PAINTED ROCK ELEMENTARY,PUBLIC,SAN DIEGO,POWAY,Y,Yes,120,6,5,2,95,95,95,94,95
POMERADO ELEMENTARY,PUBLIC,SAN DIEGO,POWAY,Y,Yes,84,0,0,Down to None,96,95,95,99,99
TIERRA BONITA ELEMENTARY,PUBLIC,SAN DIEGO,POWAY,Y,Yes,106,7,7,2,92,92,92,93,93
VALLEY ELEMENTARY,PUBLIC,SAN DIEGO,POWAY,Y,No,120,4,3,Up from None,79,77,76,95,97
ADOBE BLUFFS ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,59,1,2,-1,98,98,98,98,98
CANYON VIEW ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,96,3,3,-4,96,96,97,97,97
CREEKSIDE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,106,3,3,1,96,96,96,95,97
DEER CANYON ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,87,2,2,-1,98,98,98,98,98
DEL SUR ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,130,2,2,No Data,97,97,97,98,98
DESIGN 39 CAMPUS,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,128,0,0,No Data,98,98,98,98,98
HIGHLAND RANCH ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,138,5,4,-1,96,96,96,95,96
LOS PENASQUITOS ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,67,0,0,Down to None,99,100,99,100,100
MONTEREY RIDGE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,220,8,4,1,95,95,95,95,95
MORNING CREEK ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,124,1,1,0,99,99,99,98,99
PARK VILLAGE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,98,0,0,Down to None,100,100,100,100,100
ROLLING HILLS ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,76,2,3,-1,97,97,97,97,97
SHOAL CREEK ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,121,1,1,0,98,98,98,99,99
STONE RANCH ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,170,16,9,9,91,91,91,91,91
SUNDANCE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,74,1,1,Up from None,99,99,99,99,99
SUNSET HILLS ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,80,2,3,-3,98,98,93,96,96
TURTLEBACK ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,97,1,1,0,98,98,97,98,98
WESTWOOD ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,173,4,2,Up from None,98,98,98,98,98
WILLOW GROVE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,146,4,3,No Data,95,95,95,97,97
BARNETT ELEMENTARY,PUBLIC,SAN DIEGO,RAMONA,Y,Yes,64,2,3,Up from None,95,95,94,97,95
HANSON ELEMENTARY,PUBLIC,SAN DIEGO,RAMONA,Y,Yes,85,1,1,Up from None,98,96,98,98,99
JAMES DUKES ELEMENTARY,PUBLIC,SAN DIEGO,RAMONA,Y,Yes,80,0,0,No Opt-Outs,95,95,94,96,96
MT. WOODSON ELEMENTARY,PUBLIC,SAN DIEGO,RAMONA,Y,Yes,74,3,4,3,95,95,95,96,96
RAMONA COMMUNITY,PUBLIC,SAN DIEGO,RAMONA,Y,No,61,10,16,No Data,84,84,84,79,84
RAMONA ELEMENTARY,PUBLIC,SAN DIEGO,RAMONA,Y,Yes,87,0,0,Down to None,98,98,98,100,98
R. ROGER ROWE ELEMENTARY,PUBLIC,SAN DIEGO,RANCHO SANTA FE,Y,No,58,5,9,4,91,90,90,86,91
LITERACY FIRST CHARTER,PUBLIC,SAN DIEGO,EL CAJON,Y,Yes,154,7,5,2,95,95,95,95,95
MONARCH,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,23,0,0,No Data,83,87,83,83,100
BIRD ROCK ELEMENTARY,PUBLIC,SAN DIEGO,LA JOLLA,Y,No,85,9,11,Up from None,82,82,82,84,87
LA JOLLA ELEMENTARY,PUBLIC,SAN DIEGO,LA JOLLA,Y,Yes,77,4,5,4,94,94,94,95,95
TORREY PINES ELEMENTARY,PUBLIC,SAN DIEGO,LA JOLLA,Y,Yes,105,5,5,1,95,95,94,95,95
LEARNING CHOICE ACADEMY,PUBLIC,SAN DIEGO,LA MESA,Y,No,70,17,24,-6,66,51,61,70,69
ADAMS ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,73,1,1,Up from None,97,97,97,99,97
ALCOTT ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,45,3,7,Up from None,93,93,93,93,93
AMERICA'S FINEST CHARTER,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,34,0,0,No Data,88,88,88,94,94
ANGIER ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,112,1,1,-2,95,95,95,96,95
AUDUBON K-8,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,60,0,0,No Opt-Outs,98,98,98,100,100
BAKER ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,107,0,0,No Opt-Outs,98,98,99,99,99
BALBOA ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,118,0,0,No Opt-Outs,96,98,98,100,100
BARNARD ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,111,1,1,Up from None,96,96,96,96,96
BAY PARK ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,111,4,4,2,90,93,89,96,90
BENCHLEY WEINBERGER ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,101,6,6,Up from None,91,91,91,94,94
BETHUNE K-8,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,51,0,0,No Opt-Outs,94,94,96,98,98
BIRNEY ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,86,9,10,7,73,76,72,79,86
BOONE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,87,2,2,0,95,98,98,98,98
BURBANK ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,82,0,0,No Opt-Outs,99,99,99,100,99
CABRILLO ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,53,2,4,Up from None,94,96,96,94,96
CADMAN ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,36,0,0,No Opt-Outs,100,100,100,100,100
CARSON ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,80,1,1,Up from None,99,99,99,99,99
CARVER ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,56,2,4,Up from None,80,80,82,91,89
CENTRAL ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,144,1,1,Up from None,99,99,99,99,99
CHAVEZ ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,89,0,0,No Opt-Outs,99,100,100,100,100
CHEROKEE POINT ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,91,0,0,No Data,91,93,91,97,100
CHESTERTON ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,102,0,0,No Opt-Outs,98,99,100,99,100
CHOLLAS MEAD ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,112,1,1,Up from None,96,95,97,97,98
CLAY ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,74,2,3,Up from None,86,91,89,95,96
CROWN POINT ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,No,73,6,8,Up from None,78,81,74,81,88
CUBBERLEY ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,20,0,0,No Opt-Outs,100,100,100,100,100
CURIE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,106,4,4,1,95,96,96,95,96
DAILARD ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,96,2,2,1,97,97,97,97,97
DARNALL CHARTER,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,90,0,0,No Opt-Outs,100,100,100,100,100
DEWEY ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,102,1,1,Up from None,99,99,99,99,99
DINGEMAN ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,131,2,2,Up from None,98,98,98,98,98
DOYLE ELEMENTARY,PUBLIC,SAN DIEGO,SAN DIEGO,Y,Yes,210,6,3,2,97,97,97,97,97
