School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
MELROSE LEADERSHIP ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,No,73,0,0,No Data,67,59,68,60,70
MONTCLAIR ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,106,1,1,-1,82,81,86,86,93
NEW HIGHLAND ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,No,95,0,0,No Opt-Outs,87,94,88,96,99
NORTH OAKLAND COMMUNITY CHARTER,PUBLIC,ALAMEDA,OAKLAND,Y,No,22,0,0,Down to None,77,82,86,86,95
PARKER ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,64,0,0,No Opt-Outs,69,66,64,81,88
PERALTA ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,54,5,9,3,85,87,87,87,91
PIEDMONT AVENUE ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,58,0,0,Down to None,81,84,78,90,98
PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENCE,PUBLIC,ALAMEDA,OAKLAND,Y,No,55,0,0,No Opt-Outs,85,89,80,95,96
REACH ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,No,90,0,0,No Opt-Outs,74,77,72,79,79
REDWOOD HEIGHTS ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,52,0,0,No Opt-Outs,98,98,96,98,96
REEMS -ERNESTINE C.- ACADEMY OF TECHNOLOGY AND ART,PUBLIC,ALAMEDA,OAKLAND,N,Not Known, ,,,No Data,,,,,
RISE COMMUNITY,PUBLIC,ALAMEDA,OAKLAND,Y,No,44,0,0,No Data,93,98,89,98,98
SANKOFA ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,No,57,1,2,No Data,75,81,74,86,86
SEQUOIA ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,96,0,0,Down to None,92,93,91,93,96
